iter	Passed	Remaining
0	195	1174460
1	387	1162212
2	577	1155098
3	781	1171905
4	983	1179167
5	1187	1186567
6	1390	1190199
7	1585	1187283
8	1781	1185553
9	1974	1182971
10	2169	1180936
11	2375	1185141
12	2548	1173632
13	2744	1173535
14	2941	1173701
15	3125	1168762
16	3319	1168270
17	3515	1168391
18	3699	1164664
19	3895	1164733
20	4085	1163207
21	4279	1162882
22	4476	1163243
23	4675	1164246
24	4866	1163191
25	5059	1162622
26	5251	1161784
27	5452	1162840
28	5635	1160341
29	5842	1162695
30	6039	1162988
31	6236	1163195
32	6427	1162165
33	6622	1162033
34	6846	1166914
35	7061	1169930
36	7262	1170428
37	7462	1170826
38	7662	1171191
39	7858	1170955
40	8097	1176841
41	8306	1178369
42	8512	1179302
43	8749	1184371
44	8946	1183901
45	9170	1186930
46	9383	1188506
47	9618	1192633
48	9814	1191910
49	10012	1191471
50	10213	1191410
51	10432	1193273
52	10650	1195050
53	10864	1196311
54	11084	1198095
55	11301	1199568
56	11539	1203094
57	11754	1204205
58	11966	1204938
59	12182	1206043
60	12401	1207399
61	12635	1210158
62	12869	1212798
63	13108	1215776
64	13334	1217538
65	13566	1219734
66	13799	1221969
67	14039	1224773
68	14270	1226639
69	14517	1229836
70	14784	1234643
71	15018	1236553
72	15251	1238310
73	15498	1241163
74	15743	1243699
75	15977	1245369
76	16216	1247431
77	16466	1250205
78	16687	1250732
79	16951	1254436
80	17191	1256277
81	17407	1256311
82	17667	1259483
83	17907	1261218
84	18141	1262460
85	18383	1264155
86	18624	1265811
87	18856	1266832
88	19111	1269279
89	19345	1270362
90	19586	1271831
91	19821	1272890
92	20073	1274964
93	20305	1275814
94	20541	1276813
95	20771	1277435
96	21032	1279966
97	21237	1279037
98	21472	1279896
99	21723	1281664
100	21936	1281245
101	22137	1280075
102	22374	1280967
103	22609	1281771
104	22838	1282215
105	23077	1283200
106	23306	1283604
107	23543	1284433
108	23774	1284902
109	24006	1285442
110	24204	1284163
111	24437	1284737
112	24671	1285340
113	24910	1286188
114	25126	1285802
115	25361	1286452
116	25589	1286690
117	25828	1287491
118	26042	1287048
119	26305	1288961
120	26553	1290167
121	26797	1291106
122	27020	1291030
123	27263	1291940
124	27497	1292383
125	27725	1292513
126	27958	1292928
127	28212	1294228
128	28459	1295231
129	28693	1295601
130	28928	1296053
131	29176	1297029
132	29428	1298190
133	29693	1299875
134	29912	1299530
135	30157	1300331
136	30428	1302216
137	30711	1304584
138	30957	1305326
139	31209	1306339
140	31460	1307278
141	31697	1307641
142	31966	1309301
143	32218	1310227
